response,sentiment,adoption_stage,main_barrier
AI isn't on our roadmap currently — the pricing models we've seen don't fit our budget or scale.,neutral,not_interested,cost
Looking at AI options but concerned about the learning curve. Our team are great at their jobs but aren't tech-savvy.,neutral,exploring,skills
We tried to research AI tools but every solution assumed a level of technical expertise we don't have. Gave up.,negative,exploring,skills
I don't trust AI to interact with our clients. One bad output could damage relationships we've spent years building.,negative,not_interested,trust
"The licensing fees are real, but so are the savings. Our AI tools have paid for themselves three times over this year.",positive,scaling,cost
We were keen to explore AI but the pricing completely put us off. There's a real gap in the market for affordable SME tools.,negative,exploring,cost
"Our AI pilot is in progress but adoption has been patchy. Some team members use it well, others are struggling.",neutral,piloting,skills
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
We started exploring AI but quickly realised our team doesn't have the capability to implement or maintain it.,negative,exploring,skills
Pilot is live but we're not ready to trust it without human oversight. Some outputs have been inconsistent.,neutral,piloting,trust
Running AI at scale but data governance has become a bigger issue than we anticipated. Working through it.,neutral,scaling,trust
We explored AI seriously but the skills required to implement it properly aren't something we can realistically build.,negative,exploring,skills
We explored AI briefly but the financial reality killed the idea quickly. The industry hasn't made this accessible yet.,negative,exploring,cost
We ran an AI pilot and ended it early. Cost per result was far too high to justify at any scale.,negative,piloting,cost
We've decided to wait on AI. The technology is evolving fast and we'd rather let it mature before committing.,neutral,not_interested,trust
Running AI at scale but data governance has become a bigger issue than we anticipated. Working through it.,neutral,scaling,trust
The AI chatbot pilot has exceeded expectations. Customers get faster answers and our staff focus on complex issues.,positive,piloting,none
We looked at AI and decided the reliability risks were too high. Not something we're willing to gamble on.,negative,not_interested,trust
AI adoption is on hold pending better evidence of accuracy and reliability. We'll reassess when those questions are answered.,neutral,not_interested,trust
The price tags for AI tools are completely out of range for us. We've parked the idea indefinitely.,negative,not_interested,cost
Interested in AI and actively looking — just need to find an option that fits our budget without sacrificing quality.,positive,exploring,cost
Building internal AI literacy took time but was worth every hour. Now the team spots opportunities we'd never have seen.,positive,scaling,skills
"We've scaled but the cost base has grown with it. Worth it so far, but we're monitoring closely.",neutral,scaling,cost
We ran an AI pilot and ended it early. Cost per result was far too high to justify at any scale.,negative,piloting,cost
We explored AI options but the combination of data privacy concerns and inconsistent accuracy made it a non-starter.,negative,exploring,trust
Our pilot is running but we've had a few cases where the AI gave wrong information to customers. Reviewing carefully.,neutral,piloting,trust
Interested in AI and actively looking — just need to find an option that fits our budget without sacrificing quality.,positive,exploring,cost
Running a pilot and the AI is capable but we've found some accuracy issues that are giving us pause.,neutral,piloting,trust
No interest in AI adoption right now. We don't have the in-house technical knowledge and outsourcing it feels risky.,negative,not_interested,skills
Began looking into AI last quarter and pulled back fast. The cost of entry is too high for our margin structure.,negative,exploring,cost
We've scaled AI use but recent accuracy issues have made the team lose some confidence in the outputs.,neutral,scaling,trust
Pilot is live but momentum is slow. The AI works but half the team doesn't feel confident enough to use it independently.,neutral,piloting,skills
We're not interested in AI right now — data privacy regulations are still catching up with the technology and we're cautious.,neutral,not_interested,trust
We're in research mode but very optimistic. AI feels like a genuine opportunity for a business our size.,positive,exploring,none
Our AI pilot ended badly. We had two incidents where the AI made decisions we would never have approved. Trust destroyed.,negative,piloting,trust
AI is clearly the right direction for us. Just need to find a cost model that works — exploring options actively.,positive,exploring,cost
"We're testing it and it's fine, but fine isn't worth the price tag. Need to see more compelling results before committing.",neutral,piloting,cost
